iter	Passed	Remaining
0	194	58191
1	241	35942
2	286	28384
3	344	25489
4	394	23270
5	448	21984
6	497	20835
7	544	19872
8	601	19446
9	652	18911
10	698	18362
11	746	17913
12	795	17561
13	844	17260
14	888	16883
15	940	16700
16	992	16519
17	1044	16363
18	1097	16238
19	1155	16171
20	1211	16092
21	1268	16028
22	1328	16000
23	1393	16023
24	1445	15901
25	1508	15902
26	1581	15990
27	1640	15936
28	1700	15886
29	1756	15806
30	1834	15922
31	1905	15962
32	1965	15901
33	2030	15885
34	2094	15857
35	2168	15905
36	2236	15898
37	2301	15866
38	2368	15853
39	2432	15810
40	2495	15763
41	2578	15838
42	2647	15823
43	2704	15737
44	2775	15726
45	2827	15614
46	2883	15519
47	2944	15457
48	3001	15373
49	3057	15285
50	3118	15224
51	3177	15153
52	3237	15088
53	3290	14990
54	3346	14907
55	3407	14844
56	3465	14772
57	3522	14698
58	3577	14611
59	3617	14470
60	3669	14376
61	3721	14286
62	3764	14161
63	3816	14073
64	3868	13984
65	3918	13892
66	3962	13780
67	4008	13674
68	4059	13590
69	4108	13499
70	4162	13423
71	4212	13338
72	4261	13252
73	4311	13168
74	4358	13074
75	4407	12990
76	4462	12924
77	4515	12851
78	4565	12770
79	4616	12696
80	4673	12635
81	4739	12601
82	4813	12585
83	4869	12520
84	4931	12472
85	4993	12424
86	5055	12376
87	5117	12328
88	5181	12284
89	5242	12232
90	5316	12209
91	5382	12168
92	5441	12112
93	5514	12084
94	5581	12043
95	5640	11987
96	5703	11936
97	5766	11885
98	5826	11829
99	5888	11776
100	5954	11731
101	6020	11686
102	6082	11634
103	6149	11588
104	6208	11529
105	6266	11468
106	6320	11400
107	6375	11334
108	6438	11282
109	6497	11222
110	6556	11163
111	6616	11106
112	6670	11039
113	6729	10980
114	6784	10914
115	6843	10855
116	6895	10785
117	6935	10696
118	6975	10610
119	7013	10519
120	7043	10419
121	7070	10315
122	7101	10219
123	7131	10122
124	7160	10024
125	7188	9927
126	7215	9828
127	7242	9731
128	7264	9630
129	7287	9530
130	7310	9430
131	7331	9331
132	7356	9237
133	7378	9140
134	7399	9043
135	7435	8965
136	7480	8899
137	7530	8840
138	7573	8772
139	7626	8715
140	7686	8667
141	7738	8610
142	7782	8544
143	7851	8505
144	7915	8461
145	7974	8410
146	8022	8349
147	8069	8287
148	8114	8223
149	8165	8165
150	8220	8111
151	8270	8052
152	8311	7985
153	8362	7927
